Dataset,Preprocessing,Classifier,Fold,Sensitivity,Specificity,Precision,Balanced Accuracy,Gmean_s,Gmean
A6,None,SVM,0,0.02100840336134454,0.9837584790293302,0.05555555555555555,0.5023834411953374,0.14376089502222422,0.03416333590378282
A6,RO,SVM,0,0.6470588235294118,0.585841215247922,0.0663364204178333,0.6164500193886668,0.6156896357040301,0.2071800331902562
A6,SMOTE,SVM,0,0.6491596638655462,0.5927199770707939,0.06758530183727034,0.6209398204681701,0.6202982355945169,0.20946038246631246
A6,DB-SMOTE,SVM,0,0.21218487394957983,0.8330944874367059,0.054653679653679656,0.5226396806931428,0.4204403034972352,0.10768790149407098
A6,SMOTE TL,SVM,0,0.6281512605042017,0.5978790484379478,0.0663265306122449,0.6130151544710747,0.6128282613468063,0.20411539336598833
A6,SMOTE ENN,SVM,0,0.6386554621848739,0.5823062959778351,0.06501283147989735,0.6104808790813545,0.6098303834599308,0.20376653291632843
A6,CCR,SVM,0,0.0,1.0,0.0,0.5,0.0,0.0
A6,LO RO,SVM,0,0.7415966386554622,0.5604280118467565,0.07125555106984255,0.6510123252511093,0.6446794007829925,0.22987578636937353
A6,LO SMOTE,SVM,0,0.6407563025210085,0.5625298557370785,0.06244881244881245,0.6016430791290435,0.6003703443873346,0.2000361721327645
A6,None,SVM,1,0.018947368421052633,0.9804146364765454,0.04205607476635514,0.499681002448799,0.13629481766638632,0.02822856608015125
A6,RO,SVM,1,0.6168421052631579,0.6195662558517244,0.06853801169590644,0.6182041805574412,0.6182026800407695,0.2056140350877193
A6,SMOTE,SVM,1,0.5789473684210527,0.6068596541511417,0.06264236902050115,0.5929035112860972,0.5927392342098788,0.19043800748821021
A6,DB-SMOTE,SVM,1,0.20842105263157895,0.8669150663991593,0.06635388739946381,0.5376680595153691,0.4250686423168474,0.11759909463084106
A6,SMOTE TL,SVM,1,0.6484210526315789,0.6176554886787045,0.071461716937355,0.6330382706551416,0.6328513428386778,0.21526096190294156
A6,SMOTE ENN,SVM,1,0.6042105263157894,0.5979745867965989,0.06384872080088988,0.6010925565561942,0.6010844697809449,0.19641300669684675
A6,CCR,SVM,1,0.0,1.0,0.0,0.5,0.0,0.0
A6,LO RO,SVM,1,0.7073684210526315,0.5129454475972103,0.061832903938167094,0.6101569343249209,0.6023631889092942,0.2091378579498229
A6,LO SMOTE,SVM,1,0.6757894736842105,0.5009076144071845,0.05788999098286745,0.5883485440456975,0.5818144834091402,0.19779142180058185
A6,None,SVM,2,0.02100840336134454,0.9818477118563103,0.05,0.5014280576088274,0.14362121281374335,0.03241018617760822
A6,RO,SVM,2,0.6050420168067226,0.5777204547625872,0.06117247238742566,0.5913812357846548,0.591223434160092,0.1923848124627866
A6,SMOTE,SVM,2,0.6239495798319328,0.5989299703831088,0.0660734149054505,0.6114397751075208,0.6113117889991102,0.20304304831320083
A6,DB-SMOTE,SVM,2,0.25210084033613445,0.8191458870736601,0.05961251862891207,0.5356233637048973,0.4544308159545939,0.12259023631962784
A6,SMOTE TL,SVM,2,0.5882352941176471,0.6028470430877998,0.06310570205093531,0.5955411686027234,0.5954963540599605,0.19266811154530097
A6,SMOTE ENN,SVM,2,0.6449579831932774,0.5929110537880959,0.06720665499124344,0.6189345184906867,0.6183871905725176,0.20819574601878582
A6,CCR,SVM,2,0.0,1.0,0.0,0.5,0.0,0.0
A6,LO RO,SVM,2,0.6953781512605042,0.5462883347664087,0.06515748031496063,0.6208332430134564,0.6163416035649749,0.21285931551663417
A6,LO SMOTE,SVM,2,0.6827731092436975,0.6411579249068501,0.07963734378828718,0.6619655170752738,0.6616384132627784,0.23318283991374258
A6,None,SVM,3,0.014736842105263158,0.9777395624343174,0.029166666666666667,0.49623820226979026,0.12003663420666053,0.020732210721568233
A6,RO,SVM,3,0.6210526315789474,0.589089519442056,0.06418624891209748,0.6050710755105018,0.6048599807269996,0.19965730339268706
A6,SMOTE,SVM,3,0.6463157894736842,0.6010318142734308,0.06848092795003347,0.6236738018735575,0.6232626665707911,0.21038133237508588
A6,DB-SMOTE,SVM,3,0.23157894736842105,0.8323301805674979,0.058981233243967826,0.5319545639679595,0.4390331958733747,0.11687091986088495
A6,SMOTE TL,SVM,3,0.6063157894736843,0.5979745867965989,0.06405693950177936,0.6021451881351416,0.6021307446716037,0.19707545216309763
